ID faithfulness informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy common_sense_error missing_step semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step grammar_step_max
0 0.878377133837113 0.912551757807915 0.9743385016918182 0.9573607829019979 0.023427436749140385 0.01623326539993286 0.8433070423511358 0.9220742004460853 0.7459387928247452 0.9930754592539381 0.933037132024765 0.9817857983020636 0.9710723608732224 0.0022138357162475586 0.0007436871528625488 0.004826308084217846 0.11444562404172832 0.0006747898060944742 0.9241078083331769 0.8062028884887695
1 0.9048931873761691 0.9388987298768301 0.9670370072126389 0.962320575647265 0.020218785320009536 0.013435930013656616 0.8570425097758954 0.9554332472225511 0.7708512246608734 0.9912239346475822 0.912800669670105 0.9944630884207212 0.9486742615699768 0.00038444995880126953 0.001647353172302246 0.006478021249744501 0.13843760334362476 0.0006747878755081148 0.9235579738250146 0.7790113091468811
2 0.8877281198898951 0.925575961669286 0.8900150954723358 0.9593190208480165 0.023583864623850093 0.010310709476470947 0.7658360948165258 0.9409630323127658 0.6886963844299316 0.9757551368126229 0.8789858818054199 0.9119244863589605 0.9332483261823654 0.0007773637771606445 0.002017378807067871 0.010575230322157108 0.11337156322216915 0.0009542761921513029 0.9382884568638272 0.8245027661323547
3 0.8917465150356293 0.9197059206664562 0.9680726528167725 0.9551128280419175 0.032146386611155986 0.025823190808296204 0.8670722067356109 0.957306763097975 0.7808024287223816 0.9936002089348364 0.9335409700870514 0.9880433022975922 0.9689495265483856 0.00020760297775268555 0.00023299455642700195 0.00588824500115814 0.0803492279762925 0.0009237583282571814 0.8904024422168731 0.3786270022392273
4 0.8995316074444697 0.9265122535901191 0.8963015079498291 0.9592382150391737 0.022353269159793854 0.015943080186843872 0.8555582372041849 0.9512378674062987 0.7465921342372894 0.9907743001254605 0.919866532087326 0.9853392197535589 0.949207678437233 0.00884777307510376 0.003218531608581543 0.011058172551936887 0.12499457538078947 0.0009237583282571814 0.9572927080667936 0.8245031237602234
5 0.8601632714271545 0.8805452436208725 0.915209025144577 0.9607169872998071 0.006101670173498275 0.006409540772438049 0.8352141032616297 0.9486757077624777 0.7574946284294128 0.9917487096448898 0.9173685908317566 0.9600198566913605 0.9500215351581573 0.013788342475891113 0.007637381553649902 0.010828265467756384 0.12585135754548715 0.0009542743720156483 0.8824049433072408 0.6906825304031372
6 0.8857552749770028 0.9282353268492789 0.9900986552238464 0.961259004295147 0.004567451336804584 0.01870076358318329 0.8484063148498535 0.9494646209902271 0.7627263069152832 0.9930209640299683 0.9259905517101288 0.980054531778608 0.960876390337944 0.017728567123413086 0.0032492876052856445 0.006370345272202859 0.13809952280817558 0.0008265068404347475 0.9405269793101719 0.7501966953277588
7 0.8525407587488493 0.9019259003301462 0.9442413300275803 0.9489123545108585 0.042911334679676894 0.030360624194145203 0.6444291478643814 0.9163327261923584 0.5768100321292877 0.9455194688181159 0.8478992283344269 0.7892721618215243 0.8754075318574905 0.004558563232421875 0.0010901689529418945 0.009249909013441455 0.08024552285092383 0.0009237583282571814 0.9428545534610748 0.8115328550338745
8 0.8382604100874492 0.8999431023285502 0.9799176156520844 0.9515032299138881 0.03204845450818539 0.027615085244178772 0.5970530836576862 0.8895236025428127 0.5098409680649638 0.9403989501812973 0.8537874221801758 0.7541067398020199 0.821391150355339 0.0026414990425109863 0.0018169283866882324 0.009820615725195622 0.09140999032496869 0.000674789162565074 0.9565040852342334 0.8245031237602234
9 0.8708624809980392 0.9069835330049196 0.9877154231071472 0.9512118902408851 0.04449221771210432 0.032896339893341064 0.5791144721210003 0.9141778951176539 0.5324342995882034 0.8479910398570252 0.6352661550045013 0.7123707115650177 0.7962231412529945 0.0035616159439086914 0.0025945305824279785 0.01611463351180694 0.11502634614191964 0.0009542761921513029 0.9224309206008912 0.7466433048248291
10 0.8569680154323578 0.9014636377493541 0.9697813391685486 0.9562754799550939 0.037789827585220315 0.03336285054683685 0.6167175190692599 0.9009539622903198 0.5352170765399933 0.9246637578183439 0.7926092743873596 0.7797744572162628 0.8109480142593384 0.016296565532684326 0.0032492876052856445 0.00849035613443595 0.09680637042841995 0.0006026482041128792 0.9182609102942727 0.6933111548423767
11 0.8985125213861466 0.9335360919435819 0.9871953725814819 0.945795815404471 0.04284282749699009 0.018957212567329407 0.6324895299971104 0.9205741961537317 0.5912689194083214 0.8917275716761921 0.696415513753891 0.7448407024145126 0.8398431539535522 0.25029903650283813 0.007637381553649902 0.009291791827772575 0.1388602135305735 0.0009542743720156483 0.8141429394483566 0.44992145895957947
12 0.8691430362788114 0.9158140183849768 0.9732678979635239 0.9575947064728964 0.0343452556566759 0.02320365607738495 0.8660859817808325 0.9469612452867446 0.7796871960163116 0.995886626785925 0.9453855752944946 0.9444596442309293 0.9741014540195465 0.0086287260055542 0.0032492876052856445 0.011706546251171292 0.10723802300572827 0.0009237565663296774 0.9604850628159263 0.8245027661323547
13 0.8691631977756819 0.9052816169957321 0.9448599815368652 0.9499216487605451 0.03464226369504575 0.021849289536476135 0.850861502190431 0.9462862014217821 0.75474414229393 0.9924587784930736 0.9292788505554199 0.9757963841160139 0.9671433717012405 0.16965770721435547 0.0032492876052856445 0.002633610568164024 0.10215170638037356 1.6581370386834578e-05 0.8865534861882528 0.11154073476791382
